,pm25,pm10,co,no2,so2,o3,nh3
2024-02-01,3.6,11.0,0.03,0.0,3.6,0.009,0.003
2024-02-02,2.4,10.0,0.029,0.0,2.4,0.009,0.0
2024-02-03,1.2,3.0,0.041,0.0,1.2,0.006,0.001
2024-02-04,0.6,2.0,0.04,0.0,0.6,0.005,0.0
2024-02-05,1.7,6.0,0.043,0.0,1.7,0.004,0.0
2024-02-06,2.4,11.0,0.037,0.0,2.4,0.008,0.0
2024-02-07,4.4,20.0,0.009,0.0,4.4,0.027,0.003
2024-02-08,1.7,12.0,0.039,0.0,1.7,0.006,0.001
2024-02-09,1.6,5.0,0.039,0.0,1.6,0.005,0.0
2024-02-10,1.4,6.0,0.045,0.0,1.4,0.004,0.0
2024-02-11,2.1,5.0,0.045,0.0,2.1,0.004,0.0
2024-02-12,2.2,6.0,0.04,0.0,2.2,0.003,0.0
2024-02-13,2.0,6.0,0.04,0.0,2.0,0.005,0.0
2024-02-14,1.8,8.0,0.039,0.0,1.8,0.009,0.0
2024-02-15,2.9,15.0,0.045,0.0,2.9,0.008,0.0
2024-02-16,2.9,12.0,0.041,0.0,2.9,0.011,0.0
2024-02-17,1.4,7.0,0.044,0.0,1.4,0.003,0.0
2024-02-18,3.1,9.0,0.028,0.0,3.1,0.008,0.0
2024-02-19,6.5,15.0,0.039,0.0,6.5,0.005,0.0
2024-02-20,2.9,12.0,0.047,0.0,2.9,0.011,0.0
2024-02-21,2.7,20.0,0.044,0.0,2.7,0.007,0.0
2024-02-22,2.1,16.0,0.046,0.0,2.1,0.004,0.0
2024-02-23,1.6,10.0,0.04,0.0,1.6,0.006,0.001
2024-02-24,2.1,12.0,0.042,0.0,2.1,0.007,0.001
2024-02-25,2.2,10.0,0.045,0.0,2.2,0.008,0.0
2024-02-26,2.3,31.0,0.039,0.0,2.3,0.001,0.0
2024-02-27,3.4,40.0,0.033,0.0,3.4,0.003,0.0
2024-02-28,2.5,21.0,0.045,0.0,2.5,0.002,0.0
2024-02-29,3.8,23.0,0.047,0.0,3.8,0.004,0.0
