date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-06-01,3.9,19.0,0.067,0.0,3.9,0.002,0.0,16,18,1,0,6,2,18
2024-06-02,3.4,19.0,0.067,0.0,3.4,0.001,0.0,14,18,1,0,5,1,18
2024-06-03,3.0,15.0,0.072,0.0,3.0,0.002,0.0,12,14,1,0,4,2,14
2024-06-04,3.0,16.0,0.06,0.0,3.0,0.002,0.0,12,15,1,0,4,2,15
2024-06-05,3.2,20.0,0.044,0.0,3.2,0.003,0.0,13,19,0,0,5,3,19
2024-06-06,3.0,16.0,0.065,0.0,3.0,0.001,0.0,12,15,1,0,4,1,15
2024-06-07,1.9,11.0,0.057,0.0,1.9,0.002,0.0,8,10,1,0,3,2,10
2024-06-08,4.2,22.0,0.059,0.0,4.2,0.002,0.0,18,20,1,0,6,2,20
2024-06-09,4.6,17.0,0.054,0.0,4.6,0.002,0.0,19,16,1,0,7,2,19
2024-06-10,5.9,16.0,0.046,0.0,5.9,0.003,0.0,25,15,1,0,8,3,25
2024-06-11,5.3,12.0,0.053,0.0,5.3,0.004,0.0,22,11,1,0,8,4,22
2024-06-12,4.0,11.0,0.03,0.0,4.0,0.002,0.0,17,10,0,0,6,2,17
2024-06-13,3.7,17.0,0.056,0.0,3.7,0.003,0.0,15,16,1,0,5,3,16
2024-06-14,6.9,23.0,0.068,0.0,6.9,0.004,0.0,29,21,1,0,10,4,29
2024-06-15,6.0,22.0,0.066,0.0,6.0,0.001,0.0,25,20,1,0,9,1,25
2024-06-16,7.2,18.0,0.073,0.0,7.2,0.0,0.0,30,17,1,0,10,0,30
2024-06-17,5.9,18.0,0.068,0.0,5.9,0.0,0.0,25,17,1,0,8,0,25
2024-06-18,3.5,19.0,0.057,0.0,3.5,0.003,0.0,15,18,1,0,5,3,18
2024-06-19,3.2,13.0,0.067,0.0,3.2,0.0,0.0,13,12,1,0,5,0,13
2024-06-20,6.6,37.0,0.039,0.0,6.6,0.0,0.0,28,34,0,0,9,0,34
2024-06-21,3.1,15.0,0.039,0.0,3.1,0.0,0.0,13,14,0,0,4,0,14
2024-06-22,1.7,14.0,0.03,0.0,1.7,0.004,0.001,7,13,0,0,2,4,13
2024-06-23,3.1,9.0,0.052,0.0,3.1,0.004,0.0,13,8,1,0,4,4,13
2024-06-24,3.0,14.0,0.047,0.0,3.0,0.008,0.0,12,13,1,0,4,7,13
2024-06-25,3.5,14.0,0.048,0.0,3.5,0.005,0.0,15,13,1,0,5,5,15
2024-06-26,3.3,12.0,0.054,0.0,3.3,0.002,0.0,14,11,1,0,5,2,14
2024-06-27,3.1,15.0,0.056,0.0,3.1,0.001,0.0,13,14,1,0,4,1,14
2024-06-28,2.7,8.0,0.041,0.0,2.7,0.0,0.0,11,7,0,0,4,0,11
2024-06-29,3.2,12.0,0.054,0.0,3.2,0.003,0.0,13,11,1,0,5,3,13
2024-06-30,8.7,66.0,0.053,0.0,8.7,0.002,0.0,36,56,1,0,12,2,56
